Characteristics,Appearances
universal claims or assertions such as about the gods,"1.11, 2.5, 4.7, 4.20, 4.19"
appeals to authority ,"1.1, 1.8, 1.14, 1.16, 1.18, 1.28, 3.12, 4.11"
conversation,nan
personification,nan
rhetorical questions,1.18
metaphors,nan
anecdotes or examples,2.17
imperatives,"2.3, 2.14, 2.29, 3.1, 3.2, 3.17, 4.9"
exhortation,"1.27, 2.2, 2.3, 2.5, 2.12, 3.1, 3.15, 3.17, 4.9"
caustic injunctions,nan
pathos,"1.7, 1.12, 1.20, 1.29, 2.17, 4.1, 4.10"
irony or satire,nan
hyperbole,nan
oppositions or choices,"1.15, 2.21, 3.2, 3.4, 3.18"
figurations of groupness,"2.15, 3.2, 3.18"
second person addresses,"1.2, 1.12, 4.1"
plural inclusive addresses,"3.3, 4.20"
first person reflection,"1.1, 1.8, 2.19, 3.10"
analysis of questions or objections,3.12
systematic structure,"1.7, 2.12"